=== Shard: train_condensed_005 ===
ID file: data/SwissProt/train_condensed_chunks/train_condensed_005.txt
Output root: /scratch/user/yining_yang/TAMU/PhD/Pannot-Data/data/Sample/train_condensed_005
[train_condensed_005] processed 50 proteins
[train_condensed_005] processed 100 proteins
[train_condensed_005] processed 150 proteins
[train_condensed_005] processed 200 proteins
[train_condensed_005] processed 250 proteins
[train_condensed_005] processed 300 proteins
[train_condensed_005] processed 350 proteins
[train_condensed_005] processed 400 proteins
[train_condensed_005] processed 450 proteins
[train_condensed_005] processed 500 proteins
[train_condensed_005] processed 550 proteins
[train_condensed_005] processed 600 proteins
[train_condensed_005] processed 650 proteins
[train_condensed_005] processed 700 proteins
[train_condensed_005] processed 750 proteins
[train_condensed_005] processed 800 proteins
[train_condensed_005] processed 850 proteins
[train_condensed_005] processed 900 proteins
[train_condensed_005] processed 950 proteins
[train_condensed_005] processed 1000 proteins
[train_condensed_005] processed 1050 proteins
[train_condensed_005] processed 1100 proteins
[train_condensed_005] processed 1150 proteins
[train_condensed_005] processed 1200 proteins
[train_condensed_005] processed 1250 proteins
[train_condensed_005] processed 1300 proteins
[train_condensed_005] processed 1350 proteins
[train_condensed_005] processed 1400 proteins
[WARN] Skip cofactor site with None ListOfCofactors: {'Cofactors': None, 'ListOfCofactors': None, 'Notes': 'Binds at least 14 chlorophylls (8 Chl-a and 6 Chl-b) and carotenoids such as lutein and neoxanthin.'}
[train_condensed_005] processed 1450 proteins
[train_condensed_005] processed 1500 proteins
[train_condensed_005] processed 1550 proteins
[train_condensed_005] processed 1600 proteins
[train_condensed_005] processed 1650 proteins
[train_condensed_005] processed 1700 proteins
[train_condensed_005] processed 1750 proteins
[train_condensed_005] processed 1800 proteins
[train_condensed_005] processed 1850 proteins
[train_condensed_005] processed 1900 proteins
[train_condensed_005] processed 1950 proteins
